poi_id,name,location,category,latitude,longitude,hours_raw,hours_status,data_status,source_url
osm:way:907749035,Đình thần Tập Phước,Đồng Nai,temple,10.70668865,107.00742715194082,,unknown,usable,https://www.openstreetmap.org/way/907749035
osm:way:907749036,Đình Thiết Tượng,Đồng Nai,temple,10.8923424,106.87302076326782,,unknown,usable,https://www.openstreetmap.org/way/907749036
osm:way:907749037,Đình An Hòa,Đồng Nai,temple,10.885137449999998,106.85982509778795,,unknown,usable,https://www.openstreetmap.org/way/907749037
osm:way:907749038,Đình thần Bình Dương,Đồng Nai,temple,10.901040250000001,106.8487912531006,,unknown,usable,https://www.openstreetmap.org/way/907749038
osm:way:907749039,Đình Phước Thái,Đồng Nai,temple,10.661871600000001,107.0385118,,unknown,usable,https://www.openstreetmap.org/way/907749039
osm:way:907749040,Đình Phú Hội,Đồng Nai,temple,10.744106299999999,106.9032557,,unknown,usable,https://www.openstreetmap.org/way/907749040
osm:way:907749041,Đình Phước Thiền,Đồng Nai,temple,10.75845975,106.93317965,,unknown,usable,https://www.openstreetmap.org/way/907749041
osm:way:907749042,Đình Phú Mỹ,Đồng Nai,temple,10.75140605,106.91052829736162,,unknown,usable,https://www.openstreetmap.org/way/907749042
osm:way:907749043,Đình Long Hiệu,Đồng Nai,temple,10.7495377,106.8831950686232,,unknown,usable,https://www.openstreetmap.org/way/907749043
osm:way:907749044,Đình thần Phước Thọ,Đồng Nai,temple,10.6964158,106.95498350198918,,unknown,usable,https://www.openstreetmap.org/way/907749044
osm:way:907749045,Đình Tân Tường,Đồng Nai,temple,10.758955499999999,106.85703370000002,,unknown,usable,https://www.openstreetmap.org/way/907749045
osm:way:907749046,Đình thần Phước Long,Đồng Nai,temple,10.720249800000001,106.95759955,,unknown,usable,https://www.openstreetmap.org/way/907749046
osm:way:907749047,Đình An Phú,Đồng Nai,temple,10.73287615,106.85442579309407,,unknown,usable,https://www.openstreetmap.org/way/907749047
osm:way:907749048,Đình Phước Lai,Đồng Nai,temple,10.738788849999999,106.9487231,,unknown,usable,https://www.openstreetmap.org/way/907749048
osm:way:907749049,Đình Mỹ Khoan,Đồng Nai,temple,10.7533133,106.94238023983829,,unknown,usable,https://www.openstreetmap.org/way/907749049
