interval_id,poi_id,day_of_week,specific_date,status,open_minute,close_minute,closes_next_day,observation_id
hours:34422b8841762289ebb404bf,osm:node:12632851573,0,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:c9536a1d42bc136d83f0a49d,osm:node:12632851573,1,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:c972e17897e03243c8be49c2,osm:node:12632851573,2,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:adc265d790755bdcff8739a3,osm:node:12632851573,3,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:c4f53fbde327b75d16340289,osm:node:12632851573,4,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:f9fcb2523192192528a30dc2,osm:node:12632851573,5,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:5718a93d2ed240a9bb15ce66,osm:node:12632851573,6,,open,540,1020,0,obs:ec1556a323099b8f35382dc4
hours:ec8c0e79437fc79d4bb1bfc7,osm:node:12647208019,0,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:59109fba17844c46addc402c,osm:node:12647208019,1,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:e139022396ad5528da4b599c,osm:node:12647208019,2,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:439491295f9ae1d03df70364,osm:node:12647208019,3,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:9085ee79ed8032adc4c38198,osm:node:12647208019,4,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:f237c530bb8fa4dc06decfeb,osm:node:12647208019,5,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:99e4891e84f9614be5d76fa8,osm:node:12647208019,6,,open,0,1440,0,obs:ce9f0b375bb51aeca8f3b1d3
hours:cbd7265f335fb1f8c0e72615,osm:node:12720861001,0,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:a595dee72ec5120c5836be76,osm:node:12720861001,1,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:bf4485c2ef66167d58b33e3d,osm:node:12720861001,2,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:be0b82cd816e5092737492d3,osm:node:12720861001,3,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:36d4d67afa2411958a3650a8,osm:node:12720861001,4,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:f6dc6558a16b7f432e9cb348,osm:node:12720861001,5,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:69d8a211b9eeafe7f0a6e1be,osm:node:12720861001,6,,open,480,1020,0,obs:00b74f6de2e788ee3c862910
hours:427f695c8d8d2f30e29b1e17,osm:node:12777647201,0,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
hours:c717042c1b382ceb3676c999,osm:node:12777647201,0,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:c5ebfcd980a3672c6819b82b,osm:node:12777647201,1,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
