poi_id,short_minutes,typical_minutes,long_minutes,method,observation_id,verified_at
osm:node:11817668586,20,45,90,category_default,,
osm:node:11827013649,30,60,120,category_default,,
osm:node:11832500969,15,30,45,category_default,,
osm:node:11841089975,30,60,120,category_default,,
osm:node:11841827858,30,60,120,category_default,,
osm:node:11846546669,15,30,45,category_default,,
osm:node:11847033202,30,60,120,category_default,,
osm:node:11847045481,30,60,120,category_default,,
osm:node:11847880080,20,45,75,category_default,,
osm:node:11850475658,20,45,90,category_default,,
osm:node:11869832472,20,45,75,category_default,,
osm:node:11871599148,30,60,120,category_default,,
osm:node:11879652867,20,45,75,category_default,,
osm:node:11882942765,20,45,90,category_default,,
osm:node:11896339273,30,60,90,category_default,,
osm:node:11906834440,20,45,75,category_default,,
osm:node:11913629654,30,60,120,category_default,,
osm:node:11916349146,30,60,120,category_default,,
osm:node:11916396494,30,60,120,category_default,,
osm:node:11918260737,30,60,120,category_default,,
osm:node:11929829169,60,120,180,category_default,,
osm:node:11934093015,20,45,90,category_default,,
osm:node:11934159272,20,45,90,category_default,,
osm:node:11934169470,30,60,120,category_default,,
osm:node:11946310464,30,60,120,category_default,,
osm:node:11963493410,20,45,75,category_default,,
osm:node:12057863165,20,45,75,category_default,,
osm:node:12071058849,45,90,150,category_default,,
osm:node:12071094464,45,90,150,category_default,,
osm:node:12071560380,45,90,150,category_default,,
osm:node:12090398186,30,60,90,category_default,,
osm:node:12094600125,20,45,90,category_default,,
osm:node:12098937304,20,45,75,category_default,,
osm:node:12100148065,20,45,90,category_default,,
osm:node:12100969988,20,45,90,category_default,,
osm:node:12104269171,30,60,120,category_default,,
osm:node:12104285788,15,30,45,category_default,,
osm:node:12105535245,15,30,45,category_default,,
osm:node:12105554156,15,30,45,category_default,,
osm:node:12105554157,15,30,45,category_default,,
osm:node:12120437216,30,60,120,category_default,,
osm:node:12121873209,20,45,90,category_default,,
osm:node:12123891522,20,45,90,category_default,,
osm:node:12128958634,45,90,150,category_default,,
osm:node:12143146401,20,45,90,category_default,,
osm:node:12143156601,20,45,75,category_default,,
osm:node:12149182464,20,45,90,category_default,,
osm:node:12149255424,20,45,90,category_default,,
osm:node:12149456558,20,45,90,category_default,,
osm:node:12156991363,20,45,90,category_default,,
osm:node:12156991392,20,45,90,category_default,,
osm:node:12156991398,20,45,90,category_default,,
osm:node:12157256608,20,45,75,category_default,,
osm:node:12159797672,20,45,90,category_default,,
osm:node:12167471716,30,60,120,category_default,,
osm:node:12167471717,30,60,120,category_default,,
osm:node:12169260068,20,45,90,category_default,,
osm:node:12187388985,20,45,90,category_default,,
osm:node:12187407317,20,45,90,category_default,,
osm:node:12187452756,20,45,90,category_default,,
osm:node:12187486006,20,45,90,category_default,,
osm:node:12188392056,20,45,90,category_default,,
osm:node:12188426855,20,45,90,category_default,,
osm:node:12188447519,20,45,90,category_default,,
osm:node:12188483628,20,45,90,category_default,,
osm:node:12188488691,20,45,90,category_default,,
osm:node:12188491309,20,45,90,category_default,,
osm:node:12188494494,20,45,90,category_default,,
osm:node:12188496794,20,45,90,category_default,,
osm:node:12188505577,20,45,90,category_default,,
osm:node:12188527256,20,45,90,category_default,,
osm:node:12188528266,30,60,120,category_default,,
osm:node:12192288473,20,45,90,category_default,,
osm:node:12192315272,20,45,90,category_default,,
osm:node:12192359926,20,45,90,category_default,,
osm:node:12192371514,20,45,90,category_default,,
osm:node:12192408631,20,45,90,category_default,,
osm:node:12192411302,20,45,90,category_default,,
osm:node:12193933204,20,45,75,category_default,,
osm:node:12196463120,30,60,120,category_default,,
osm:node:12196575269,20,45,75,category_default,,
osm:node:12208609675,30,60,120,category_default,,
osm:node:12244431198,30,60,120,category_default,,
