access_id,poi_id,latitude,longitude,kind,access_minutes,verified,method,observation_id
access:aa56854a24c5006b17b8d133,osm:node:11662192867,21.0104947,105.8497903,poi_coordinate,10,0,osm_point,obs:81aabeb7d54ac597e6f6f0e7
access:c0c6b17bd90beca7fa422d5d,osm:node:11662204172,21.010506,105.8497491,poi_coordinate,10,0,osm_point,obs:1587d670fe99309874a043a3
access:2a5a4e0a0cc217ff75bc15ff,osm:node:11662204173,21.010507,105.8497193,poi_coordinate,10,0,osm_point,obs:e9cd7d31df9bebdac72a84ad
access:9c045e8f6344e311966dfe80,osm:node:11662204174,21.0105031,105.8496904,poi_coordinate,10,0,osm_point,obs:53bb016a717bf443db2c7b46
access:02c22618c1f3ef0eb7f4fb45,osm:node:11662204175,21.0105069,105.8496521,poi_coordinate,10,0,osm_point,obs:85f9859200687a557838b388
access:c32c3e6eba03e15826e52e37,osm:node:11662204177,21.0105038,105.8494406,poi_coordinate,10,0,osm_point,obs:87d22d9c4322303116c347f5
access:fa6a223a757d73ea722b87c1,osm:node:11662252388,21.0360208,105.8528316,poi_coordinate,10,0,osm_point,obs:4609e1361bcc937d020c7d70
access:4293b683470eea3b21527bca,osm:node:11662267270,21.0368784,105.8525922,poi_coordinate,10,0,osm_point,obs:ee7efcbca6b5a50342b1cab9
access:00f1d27dc3d96babace53627,osm:node:11662619725,21.0366139,105.8520155,poi_coordinate,10,0,osm_point,obs:fb170c86eb5d7992785ba6f7
access:7a6aac4298c006a582542989,osm:node:11663033697,21.0337897,105.8350287,poi_coordinate,10,0,osm_point,obs:8ce1092e7cbe161e92b5c451
access:e3a8191e407fd34cf8301b94,osm:node:11663157215,21.0323254,105.8516135,poi_coordinate,10,0,osm_point,obs:994c1c89783c698c15988ad4
access:f7e3510c787704e8552545b3,osm:node:11665246470,16.0673434,108.2215887,poi_coordinate,10,0,osm_point,obs:cccb8be79d1b637bac8a6733
access:6a6a09b8f529b10363366dfc,osm:node:11668818569,16.0562497,108.2451768,poi_coordinate,10,0,osm_point,obs:388310d3240fce5a29c2c7da
access:7f68c766351fceffb20fec6f,osm:node:11671738915,21.0363843,105.8500795,poi_coordinate,10,0,osm_point,obs:8691b3af0dc2dd3d7c6c7fd7
access:6ff375d969c82ae180174039,osm:node:11671750165,21.0368005,105.8523553,poi_coordinate,10,0,osm_point,obs:d99e9be2b943d9b364b0d019
access:04737853c01508448810720b,osm:node:11671757252,21.0365653,105.8518793,poi_coordinate,10,0,osm_point,obs:f56d0b30690ecdae2591de87
