poi_id,name,location,category,reasons,evidence_count,source_url,dataset_version
osm:way:430133921,Đình Thờ Sắc,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/430133921,v2-c829c8f3e2414108
osm:way:448044645,Hội quán Triều Châu,Đà Nẵng,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/448044645,v2-c829c8f3e2414108
osm:way:458799283,TinhLam church,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/458799283,v2-c829c8f3e2414108
osm:way:466418347,Hải Vân Quan,Đà Nẵng,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/466418347,v2-c829c8f3e2414108
osm:way:468640903,Phuc Thanh Garden,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/468640903,v2-c829c8f3e2414108
osm:way:474383101,Chùa Phước Lâm,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/474383101,v2-c829c8f3e2414108
osm:way:479832644,Công viên Trung tâm,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/479832644,v2-c829c8f3e2414108
osm:way:479832688,Viglacera Community Market,Hà Nội,market,insufficient_service_evidence,1,https://www.openstreetmap.org/way/479832688,v2-c829c8f3e2414108
osm:way:483273181,Vườn Thực vật Hà Nội,Hà Nội,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/483273181,v2-c829c8f3e2414108
osm:way:487142233,Chợ Vẽ,Hà Nội,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/487142233,v2-c829c8f3e2414108
osm:way:497037748,Công viên Thanh Xuân,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/497037748,v2-c829c8f3e2414108
osm:way:497328755,Giếng Trọng Thủy,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/497328755,v2-c829c8f3e2414108
osm:way:499096665,Đình làng Lã Côi,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/499096665,v2-c829c8f3e2414108
osm:way:500576514,Chùa Quan Âm,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/500576514,v2-c829c8f3e2414108
osm:way:500861127,Kim Long,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/way/500861127,v2-c829c8f3e2414108
osm:way:501720086,Đình Điền Xá,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/501720086,v2-c829c8f3e2414108
osm:way:503604053,Chùa Phúc Long,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/503604053,v2-c829c8f3e2414108
osm:way:508244759,Bãi Xoan,Đà Nẵng,beach,insufficient_service_evidence,0,https://www.openstreetmap.org/way/508244759,v2-c829c8f3e2414108
osm:way:523643145,Công viên Ngoại giao Đoàn,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/523643145,v2-c829c8f3e2414108
osm:way:527709325,Chùa Khai Nguyên,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/527709325,v2-c829c8f3e2414108
osm:way:531235869,Quảng trường 24 tháng 3,Đà Nẵng,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/531235869,v2-c829c8f3e2414108
osm:way:531448690,Thánh thất Trung Đức,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/531448690,v2-c829c8f3e2414108
osm:way:532520404,Chùa Kỳ Viên,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/532520404,v2-c829c8f3e2414108
osm:way:532520411,Chợ Tam Kỳ,Đà Nẵng,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/532520411,v2-c829c8f3e2414108
osm:way:532520453,Nhà thờ Tam Kỳ,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/532520453,v2-c829c8f3e2414108
osm:way:542382168,Vườn hoa Nguyễn Trãi,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/542382168,v2-c829c8f3e2414108
osm:way:542382170,Vườn hoa Hà Đông,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/542382170,v2-c829c8f3e2414108
osm:way:542867598,Luna Castle,Đà Nẵng,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/542867598,v2-c829c8f3e2414108
osm:way:548066437,Công Viên A Khu Chung Cư Vân Canh,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/548066437,v2-c829c8f3e2414108
osm:way:548066438,Công Viên B Khu Chung Cư Vân Canh,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/548066438,v2-c829c8f3e2414108
osm:way:548070677,Đài Tưởng Niệm Liệt Sĩ Giảng Võ,Hà Nội,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/548070677,v2-c829c8f3e2414108
